student.zip!student-mat.csv,;,1,0,395,32,1
categorical,GP,MS,,,,
categorical,F,M,,,,
numerical,15,22,,,,
categorical,U,R,,,,
categorical,GT3,LE3,,,,
categorical,A,T,,,,
numerical,0,4,,,,
numerical,0,4,,,,
categorical,at_home,health,services,teacher,other,
categorical,at_home,health,services,teacher,other,
categorical,home,course,reputation,other,,
categorical,mother,father,other,,,
numerical,1,4,,,,
numerical,1,4,,,,
numerical,1,4,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
categorical,yes,no,,,,
numerical,1,5,,,,
numerical,1,5,,,,
numerical,1,5,,,,
numerical,1,5,,,,
numerical,1,5,,,,
numerical,1,5,,,,
numerical,0,93,,,,
exclude,,,,,,
exclude,,,,,,
numerical,0,20,,,,
